Listeria monocytogenes 10403S	TAX-393133	/home/fpuente/Backup/BioCyc/data/10403s_rastcyc
Acetobacter aceti NBRC 14818	TAX-887700	/home/fpuente/Backup/BioCyc/data/aace887700cyc
Alicyclobacillus acidocaldarius acidocaldarius Tc-4-1	TAX-1048834	/home/fpuente/Backup/BioCyc/data/aaci1048834cyc
Alicyclobacillus acidocaldarius acidocaldarius DSM 446	TAX-521098	/home/fpuente/Backup/BioCyc/data/aaci521098cyc
Aggregatibacter actinomycetemcomitans Y4	TAX-1035194	/home/fpuente/Backup/BioCyc/data/aact1035194-hmpcyc
Aggregatibacter actinomycetemcomitans RhAA1	TAX-1089447	/home/fpuente/Backup/BioCyc/data/aact1089447cyc
Aggregatibacter actinomycetemcomitans serotype a str. A160	TAX-1167007	/home/fpuente/Backup/BioCyc/data/aact1167007cyc
Aggregatibacter actinomycetemcomitans serotype b str. SCC4092	TAX-1167009	/home/fpuente/Backup/BioCyc/data/aact1167009cyc
Aggregatibacter actinomycetemcomitans serotype c str. AAS4A	TAX-1167010	/home/fpuente/Backup/BioCyc/data/aact1167010cyc
Aggregatibacter actinomycetemcomitans D11S-1	TAX-668336	/home/fpuente/Backup/BioCyc/data/aact668336cyc
Aggregatibacter actinomycetemcomitans D7S-1	TAX-694569	/home/fpuente/Backup/BioCyc/data/aact694569cyc
Aggregatibacter actinomycetemcomitans ANH9381	TAX-754507	/home/fpuente/Backup/BioCyc/data/aact754507cyc
Aquifex aeolicus VF5	TAX-224324	/home/fpuente/Backup/BioCyc/data/aaeo224324cyc
Alishewanella aestuarii B11	TAX-1197174	/home/fpuente/Backup/BioCyc/data/aaes1197174cyc
Alishewanella agri BL06	TAX-1195246	/home/fpuente/Backup/BioCyc/data/aagr1195246cyc
Agrobacterium albertimagni AOL15	TAX-1156935	/home/fpuente/Backup/BioCyc/data/aalb1156935cyc
Aggregatibacter aphrophilus NJ8700	TAX-634176	/home/fpuente/Backup/BioCyc/data/aaph634176cyc
Aggregatibacter aphrophilus F0387	TAX-679198	/home/fpuente/Backup/BioCyc/data/aaph679198-hmpcyc
Acetohalobium arabaticum DSM 5501	TAX-574087	/home/fpuente/Backup/BioCyc/data/aara574087cyc
Arthrobacter arilaitensis Re117	TAX-861360	/home/fpuente/Backup/BioCyc/data/aari861360cyc
Aromatoleum aromaticum EbN1	TAX-76114	/home/fpuente/Backup/BioCyc/data/aaro76114cyc
Achromobacter arsenitoxydans SY8	TAX-477184	/home/fpuente/Backup/BioCyc/data/aars477184cyc
Arthrobacter aurescens TC1	TAX-290340	/home/fpuente/Backup/BioCyc/data/aaur290340cyc
Acidovorax avenae avenae ATCC 19860	TAX-643561	/home/fpuente/Backup/BioCyc/data/aave643561cyc
Acetobacteraceae bacterium AT-5844	TAX-1054213	/home/fpuente/Backup/BioCyc/data/abac1054213cyc
Acinetobacter baumannii BJAB07104	TAX-1096995	/home/fpuente/Backup/BioCyc/data/abau1096995cyc
Acinetobacter baumannii BJAB0715	TAX-1096996	/home/fpuente/Backup/BioCyc/data/abau1096996cyc
Acinetobacter baumannii BJAB0868	TAX-1096997	/home/fpuente/Backup/BioCyc/data/abau1096997cyc
Acinetobacter baumannii TYTH-1	TAX-1100841	/home/fpuente/Backup/BioCyc/data/abau1100841cyc
Acinetobacter baumannii AB4857	TAX-1116233	/home/fpuente/Backup/BioCyc/data/abau1116233cyc
Acinetobacter baumannii AB5075	TAX-1116234	/home/fpuente/Backup/BioCyc/data/abau1116234cyc
Acinetobacter baumannii AB5256	TAX-1116235	/home/fpuente/Backup/BioCyc/data/abau1116235cyc
Acinetobacter baumannii AB5711	TAX-1116236	/home/fpuente/Backup/BioCyc/data/abau1116236cyc
Acinetobacter baumannii Ab11111	TAX-1168588	/home/fpuente/Backup/BioCyc/data/abau1168588cyc
Acinetobacter baumannii Ab44444	TAX-1168591	/home/fpuente/Backup/BioCyc/data/abau1168591cyc
Acinetobacter baumannii AC12	TAX-1198108	/home/fpuente/Backup/BioCyc/data/abau1198108cyc
Acinetobacter baumannii AB_1536-8	TAX-1221244	/home/fpuente/Backup/BioCyc/data/abau1221244cyc
Acinetobacter baumannii AB_1582-8	TAX-1221245	/home/fpuente/Backup/BioCyc/data/abau1221245cyc
Acinetobacter baumannii AB_1583-8	TAX-1221246	/home/fpuente/Backup/BioCyc/data/abau1221246cyc
Acinetobacter baumannii AB_1594-8	TAX-1221247	/home/fpuente/Backup/BioCyc/data/abau1221247cyc
Acinetobacter baumannii AB_1595-8	TAX-1221248	/home/fpuente/Backup/BioCyc/data/abau1221248cyc
Acinetobacter baumannii AB_1649-8	TAX-1221249	/home/fpuente/Backup/BioCyc/data/abau1221249cyc
Acinetobacter baumannii AB_1650-8	TAX-1221250	/home/fpuente/Backup/BioCyc/data/abau1221250cyc
Acinetobacter baumannii AB_1766_8	TAX-1221251	/home/fpuente/Backup/BioCyc/data/abau1221251cyc
Acinetobacter baumannii AB_2007-09-110-01-7	TAX-1221252	/home/fpuente/Backup/BioCyc/data/abau1221252cyc
Acinetobacter baumannii AB_2007-16-25-01-7	TAX-1221253	/home/fpuente/Backup/BioCyc/data/abau1221253cyc
Acinetobacter baumannii AB_2007-16-27-01	TAX-1221254	/home/fpuente/Backup/BioCyc/data/abau1221254cyc
Acinetobacter baumannii AB_2008-15-34-7	TAX-1221255	/home/fpuente/Backup/BioCyc/data/abau1221255cyc
Acinetobacter baumannii AB_2008-15-45	TAX-1221256	/home/fpuente/Backup/BioCyc/data/abau1221256cyc
